ID,Orgname,City,Zip
462579,Perbix & Morgan,TOPEKA,61567
46258,Team Graham,NORTHLAKE,60164
462581,Aurora University,NAPERVILLE,60564
462604,Heartland Dental Care,ELMHURST,60126
462606,IBM Corp,OAK PARK,60301
462607,Educational Consultant,NORTHFIELD,60093
462608,State of Illinois,CHICAGO,60641
462614,CVS Health,CHICAGO,60630
462621,Lake Forest College,EVANSTON,60201
462632,Chicago & Il River Marketing,NAPERVILLE,60565
462636,Farmer,PARIS,61944
462645,Hydrate Nightclub,CHICAGO,60640
462646,Roman & Assoc,CHICAGO,60617
462653,Photographer,CHICAGO,60640
462667,Cf Industries Holdings,EVANSTON,60201
462682,Rosalind Franklin University,EVANSTON,60202
462689,Real Estate Investments,WHEATON,60187
462694,KKM Design Group,CHICAGO,60657
462699,Enova Financial,CHICAGO,60646
462702,Spoon River College,CANTON,61520
462703,American Medical Assn,RIVERSIDE,60546
462715,Chicago Fire Dept,CHICAGO,60636
462716,Walgreens,CHICAGO,60660
462733,Glenbard Schools,AURORA,60504
462736,Tutor,OAK PARK,60302
462750,Patent Attorney,JOLIET,60435
462753,Joliet Township High Schools,JOLIET,60431
462756,Freelance,CHICAGO,60626
462757,Supermercado Joliet,JOLIET,60432
462762,Toyota,STCHARLES,60174
462771,Uic Health & Hospital,CHICAGO,60611
462786,Illinois Tool Works,OAK PARK,60302
462798,Oracle Corp,CRYSTAL LAKE,60014
462821,Verizon Communications,CHICAGO,60614
462833,Domino Amjet,CRYSTAL LAKE,60012
462834,CF Industries,FOX RIVER GROVE,60021
462835,Powerschool,CHICAGO,60660
462838,Rabbi,GLENCOE,60022
462844,Compass North America,CHICAGO,60640
462855,McKenna Media,CHICAGO,60640
462857,Options Clearing Corp,LAKE IN THE HILLS,60156
462866,Ksd#111,BOURBONNAIS,60914
462874,Universalist Unitarian Ch of Peoria,PEORIA,61614
462876,Youth Connection Charter School,EVANSTON,60203
462877,Beggars Pizza,PALOS HEIGHTS,60463
462884,Fegan Scott LLC,OAK PARK,60302
462894,Coverdell,CHICAGO,60618
462909,Elmhurst College,WHEATON,60189
462910,Woods Basement Systems,GREENVILLE,62246
462914,Astellas Pharma,VERNON HILLS,60061
462921,Reed Smith LLP,CHICAGO,60625
462929,Mount Prospect Public Library,MT PROSPECT,60056
462932,McGaw Medical Center of Northwestern U,CHICAGO,60605
462938,Krzak Rundio Law Group,CHICAGO,60611
462941,Thg Foods,CHAMPAIGN,61820
462958,Health Care,CHICAGO,60615
462960,Whiting Law Group,CHICAGO,60601
462967,News Group,ROSELLE,60172
462978,University of Illinois College Of Medi,CHICAGO,60622
46298,Team Graham,GERMANTOWN HILLS,61548
462982,Video Editor,GLENCOE,60022
462988,Jones Lang LaSalle,CHICAGO,60611
462989,Leo Burnett Worldwide,OAK PARK,60304
462991,Dominican U,OAK PARK,60302
462994,Rush University Medical Center,CHICAGO,60660
463004,State of Illinois,ROLLING MEADOWS,60008
463009,Partners Enterprise Capital,CHICAGO,60625
463012,American Express,LAKE ZURICH,60047
463014,Quad County Urban League,AURORA,60505
463018,Tripp Lite Corp,ORLAND PARK,60467
463020,Psychotherapist,HIGHLAND PARK,60035
463021,Illinois Library Assn,RIVERSIDE,60546
